,source,created_at,text,author_id,id,geo.place_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,geo.coordinates.type,geo.coordinates.coordinates,country,full_name,Timeline
226,Twitter for iPhone,2021-02-23T21:14:01.000Z,"Kicked off #AMANAC w some of NJ’s #AMAzing physicians and met with @artin_haghs @RepSherrill to discuss:

👵🏽👴🏻 Medicare Sequester Extension

💉 Request COVID-19 Vaccines to be distributed to PCPs

💻🧑🏻‍⚕️Telehealth

🌿 Rescheduling Marijuana into Schedule III of CDS 

🤰🏾MOMMA's Act https://t.co/PVMj2HRJGp",67311924,1364322646788292612,65b4760a2b411e11,1,0,3,0,,,United States,"New Jersey, USA",During_Feb
227,Twitter for iPhone,2021-02-12T13:35:40.000Z,Live view of the level of “relaxed” I am at the airport having been fully vaccinated. https://t.co/DhFQSGLpMF,1215444012322172928,1360221034276917252,0fc34370f9955007,29,32,847,9,,,United States,Baltimore/Washington International Thurgood Marshall Airport (BWI),During_Feb
228,Twitter for iPhone,2021-02-19T20:39:23.000Z,"#NEW People 65 &amp; up 🙌🏽 are now able to get their COVID-19 vaccines! As you can see from this line, people are talking full advantage. They have already hit their limit for first dose walk-ups today at this location. More details at 4,5,6pm on #8NN https://t.co/vmGy3bfMch",3515867722,1362864378043768832,07d9f349e1484000,1,0,4,0,,,United States,Desert Pines High School,During_Feb
229,Twitter for iPhone,2021-02-16T17:45:50.000Z,Fetter Health is still out in Hollywood at the St. Paul Library distributing free COVID-19 vaccines in partnership with Charleston County. They will remain here until 2 p.m. today for those in Phase 1a. @WCBD https://t.co/zMWf2B0AkB,1194284414211112960,1361733539885178889,1111505493947001,3,0,3,0,,,United States,St Paul Hollywood Library,During_Feb
230,Twitter for iPhone,2021-02-12T22:42:56.000Z,"Not celebrating Carnaval, but this is better! My paternal grandmother received her vaccine today 😭.  Brazil (and my family) have been ravaged by this cruel virus.  I’m so grateful to still have both my grandmothers, both well into their 90s.(Photo taken on my last visit to Rio) https://t.co/GelkE2wKLX",3496371972,1360358756752760839,2ea56fb9753dda9d,33,59,2504,1,,,United States,"Braddock, PA",During_Feb
231,Twitter for Android,2021-02-25T18:37:40.000Z,"Younger people will have access to COVID-19 vaccines in March, April, @GovRonDeSantis says https://t.co/cFhQhVcYbm",265559945,1365008073870503946,008338532a26abed,2,0,3,0,,,United States,"Bradenton, FL",During_Feb
232,Twitter for iPhone,2021-02-23T13:50:44.000Z,ATTN: Hoosiers 60+ are now eligible to receive the #COVID19 vaccine. Register at https://t.co/cfAuXPLaoM or call 211. Please be patient as wait times may be longer than usual. https://t.co/3rb5xM9Xeb,584069282,1364211089630756867,018929347840059e,272,32,330,64,,,United States,"Indianapolis, IN",During_Feb
233,Twitter for iPhone,2021-02-11T13:49:21.000Z,"🚨 Important to note !

Walmart is also a part of the Federal Retail Pharmacy Program. Here is a list of locations that will offer COVID-19 vaccines to eligible Hoosiers: https://t.co/P3ymQa4ZcR

@wrtv",2938441186,1359862089859366913,018929347840059e,1,1,1,0,,,United States,"Indianapolis, IN",During_Feb
234,Twitter for iPhone,2021-02-24T12:26:55.000Z,"Indiana teachers are wearing all black today to show the darkness facing Indiana public schools and educators. 
Indiana’s teachers are not being seen.
-Lack of funding for public schools. 
-Lack of priority for vaccines. 
-Legislation attacking teacher unions and teacher rights.",2470159650,1364552387164332039,018929347840059e,44,1,106,1,,,United States,"Indianapolis, IN",During_Feb
235,Twitter for iPhone,2021-02-11T04:09:34.000Z,"Thanks to Indian Health Services my Mom &amp; I are supposed to get our first covid-19 vaccines tomorrow. Feeling emotional that vaccines are moving in our community, where 26% of the population have had the virus and we’ve lost 7 members.",857650344,1359716180286611457,4aa7629046175406,0,1,6,0,,,United States,"Clarkdale, AZ",During_Feb
236,Twitter for Android,2021-02-12T22:47:52.000Z,@princesssbutt I just survived Covid-19.  I'm taking thd vaccines as soon as I'm elgible. It was  struggle. I don't want a 2nd bout with Covid-19.,461672963,1360360000036638720,013379ee5729a5e6,0,2,4,0,,,United States,"Tucson, AZ",During_Feb
237,Twitter for iPhone,2021-02-13T10:37:28.000Z,Opening schools? @CDCgov guidance seems to minimize airborne transmission of SARS-CoV-2. Important thread by a prominent epidemiologist. @josemartimast @MDCPS https://t.co/EB3yZbgDa1,2191429797,1360538575914287107,5ca2cc5afa0894df,2,0,2,1,,,United States,"Miramar, FL",During_Feb
238,Twitter for Android,2021-02-22T19:17:55.000Z,My grandparents just got the 2nd round of their Pfizer Covid-19 vaccines 🙌🏻🙌🏻,25156047,1363931043057786883,11f14ebfedd4f000,0,1,4,0,,,United States,Towne Mall,During_Feb
239,Twitter for Android,2021-02-11T23:21:33.000Z,"CVS, Walgreens to begin delivering COVID-19 vaccines on Friday https://t.co/18KQGXfrqq via @YahooNews",31656600,1360006086758002691,4c3c7782398bd438,1,0,5,0,,,United States,"Draper, UT",During_Feb
240,Twitter for iPhone,2021-02-22T12:21:45.000Z,A new poll by the Deseret News and the Hinckley Institute of Politics shows more Utahn’s are rolling up their sleeves for the Covid 19 Vaccine. Details on @KSL5TV #ksl #vaccines https://t.co/RnlJ4M4meK,284149843,1363826310326284292,4c3c7782398bd438,0,0,2,0,,,United States,"Draper, UT",During_Feb
241,Twitter for iPhone,2021-02-24T03:22:26.000Z,"Earlier this evening the House &amp; Senate gathered on the East steps of the United States Capitol to pay tribute &amp; remember the 500,000+ American lives that have been lost to the coronavirus. 😢 https://t.co/TsGM8dzaOL",4863545294,1364415360892551169,12bb1f85fc575000,77,7,740,4,,,United States,United States Capitol,During_Feb
242,Twitter for iPhone,2021-02-13T17:59:39.000Z,"“Despite tackle involvements and close proximity interactions with SARS-CoV-2 positive players, in-match SARS-CoV-2 transmission was not confirmed.” There were similar instances in the NFL this year and no transmission I know of there either. https://t.co/ntY0lLQdUJ",2696826391,1360649854683213826,ecb63eb9d9d83b31,1,0,0,0,,,United States,"Shoreline, WA",During_Feb
243,Twitter for iPhone,2021-02-11T20:09:57.000Z,"Visited @CHCConnecticut’s drive-thru mass vaccination clinic at Wesleyan Univ. today. Thanks to @CTDPH, health care partners, nonprofits, and local leadership, our vaccine distribution infrastructure is strong. As vaccine supply comes in, we’re ready and able to get it into arms. https://t.co/5K4ISGlkMb",1082331771398746112,1359957867256819712,8c814b789b5f7574,5,1,18,0,,,United States,"Middletown, CT",During_Feb
