,created_at,text,source,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,country,full_name,Timeline,cleaned_tweet_text,LDA_clean_text,EMPATH_scores,Hesitation,Sorrow,Faith,Contentment,Anticipation,Rage,Vaccine Rollout,Inequities,Health Effects,Misinformation,final_category
3487,2021-04-19,"🇬🇧🇮🇱 @michaelgove &amp; Jonathan Van-Tam have arrived in Israel for what I’m told are consultations with Israel on vaccine passports + possible 🇬🇧🇮🇱 travel corridors. Passports have been successful in 🇮🇱. 
They’ll meet FM @Gabi_Ashkenazi &amp; probably @netanyahu &amp; @YuliEdelstein too.",Twitter for iPhone,25,8,52,3,United States,"Washington, DC",After_Apr,jonathan vantam arrived israel consultations israel vaccine passports possible travel corridors passports successful theyll probably,jonathan vantam arrived israel consultations israel passports possible travel corridors passports successful theyll probably,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.06666666666666667, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,Anticipation
3488,2021-04-27,the U.S. being the global power not sharing the vaccine with the rest of the world is legit so crazy because we’ve been the worst on the planet regarding COVID and social distancing mandates,Twitter for iPhone,18,0,41,0,United States,"Washington, DC",After_Apr,global power sharing vaccine world legit crazy worst planet regarding covid social distancing mandates,global power sharing world legit crazy worst planet regarding social distancing mandates,"{'Hesitation': 0.0, 'Sorrow': 0.07142857142857142, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.07142857142857142, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,Sorrow
3489,2021-04-26,"💥 💥 Introducing DC’s new walk-up vaccination sites open to all residents 18+.

💉 Pre-registration will end on April 28
💉 Walk-up sites will begin May 1

Days, hours &amp; vaccine type will be listed on https://t.co/bPXn63X5oA. 16 &amp; 17 y/o should get vaccinated w/ @ChildrensNatl https://t.co/GuHdg3abpf",Twitter for iPhone,25,0,35,4,United States,"Washington, DC",After_Apr,introducing walkup vaccination sites residents preregistration april walkup sites begin hours vaccine listed vaccinated,introducing walkup sites residents preregistration april walkup sites begin hours listed,"{'Hesitation': 0.0, 'Sorrow': 0.0, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vaccine Rollout
3490,2021-04-28,I slept most of yesterday due to the vaccine. So that seemed to be my worst side effect so far.,Twitter for iPhone,0,1,8,0,United States,"Washington, DC",After_Apr,slept yesterday vaccine seemed worst effect,slept yesterday seemed worst effect,"{'Hesitation': 0.0, 'Sorrow': 0.16666666666666666, 'Faith': 0.0, 'Contentment': 0.0, 'Anticipation': 0.0, 'Rage': 0.0, 'Vaccine Rollout': 0.0, 'Inequities': 0.0, 'Health Effects': 0.0, 'Misinformation': 0.0}",0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sorrow
